created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Nov 20 11:13:26 +0000 2023;1726559371986190716;"diskon promo lazada 11.11 sale freemir wajan 20-24 cm fry pan wok aluminium pfoa/bpa free  https://t.co/KiJUBTaMfI";0;0;0;0;in;1195328199208517632;1726559371986190716;flyinggcat;https://twitter.com/flyinggcat/status/1726559371986190716
Mon Nov 20 11:12:56 +0000 2023;1726559246630957326;"Masih diskon Parfum, Tambah kode GLOW06DL (diskon s/d 100rb)  HMNS Perfum - Alpha 100ml https://t.co/016AlwiJqq https://t.co/PM5zrFmC8J";0;1;1;5;in;1305090402626617344;1726559246630957326;xkode06;https://twitter.com/xkode06/status/1726559246630957326
Mon Nov 20 11:12:34 +0000 2023;1726559153475461603;"H-5 PENUTUPAN PENDAFTARAN ALTERNATIFA BATCH 3!😱  Ayo segera daftar! Jangan sampe nyesel diakhir krn ga join Alternatifa😋☝️  janlup pake kode member ALT-TMBSPTN buat dapetin diskon lebih😼  #studytwt #AMBISVERSE snbt utbk ptn bimbel online worth it gapyear semigap kls 12 akt 24 https://t.co/o5yecEGVlT";0;0;0;0;in;1406270760797179909;1726559153475461603;marrmanda_k;https://twitter.com/marrmanda_k/status/1726559153475461603
Mon Nov 20 11:12:13 +0000 2023;1726559066020077683;"Ramenya Seirock-ya agak ga manusiawi ya gara-gara diskon 😭";0;0;0;1;in;59420115;1726559066020077683;hiddennotwell;https://twitter.com/hiddennotwell/status/1726559066020077683
Mon Nov 20 11:11:57 +0000 2023;1726558999171260420;"Walau November sudah mau habis, Nowvember Sala belum akan berakhir.   Menjelang akhir November, promonya malah semakin menggila 😱.   📍 Serba Rp55.000. 📍 Diskon 33% untuk buku baru. 📍 Buku gratis setiap pembelian buku Rp300.000 &amp  Rp500.000. https://t.co/MMhwdnhRzX";0;1;5;10;in;187783301;1726558999171260420;penerbitharu;https://twitter.com/penerbitharu/status/1726558999171260420
Mon Nov 20 11:11:06 +0000 2023;1726558782053118346;"@apsaari_ aku ada diskon 40% sama 30%";0;0;0;0;in;1293843552812769282;1726558656760832489;njmnaddict__;https://twitter.com/njmnaddict__/status/1726558782053118346
Mon Nov 20 11:11:04 +0000 2023;1726558776235594052;"CEPET  https://t.co/3JtOPRSvyT https://t.co/Bxm1QczRop";0;0;0;0;in;1356632217846308864;1726558776235594052;RacunDiskon_id;https://twitter.com/RacunDiskon_id/status/1726558776235594052
Mon Nov 20 11:10:48 +0000 2023;1726558708292022611;"SIAPA BESOK MAU IKUT PROMO SEIROCKYA RAMEN?!!!!!!! DISKON 99!!";0;13;0;21;in;1452136463026442246;1726558708292022611;richievucktory;https://twitter.com/richievucktory/status/1726558708292022611
Mon Nov 20 11:09:20 +0000 2023;1726558337603629360;"@masrculin Apanya? Langganan kah apa diskon?";0;1;0;0;in;745832359942062080;1726548848456470787;Coufrse;https://twitter.com/Coufrse/status/1726558337603629360
Mon Nov 20 11:09:17 +0000 2023;1726558328057372711;"Buat ngemil  https://t.co/MvjWSBsAaU https://t.co/PxROFQrBTm";0;0;0;0;in;1356632217846308864;1726558328057372711;RacunDiskon_id;https://twitter.com/RacunDiskon_id/status/1726558328057372711
Mon Nov 20 11:09:10 +0000 2023;1726558296331460683;"@pengushrnminari @oncebase oalahh, kalau yg pink sc package membership itu diskon juga gak yaa?";0;0;0;0;in;1290249255404228609;1726529027450843180;ParkJiminBsn;https://twitter.com/ParkJiminBsn/status/1726558296331460683
Mon Nov 20 11:09:06 +0000 2023;1726558281093787803;"Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk:  TOPI DISTRO IMPORT PRIA DEWASA BENDERA PALESTINA TERLARIS TERMURAH PREMIUM BERKUALITAS KEKINIAN CASUAL CLASIK MODEL TERBARU 2024 Harga Produk:  Rp60.000 Harga Diskon:  Rp19.999 https://t.co/3WoebwFBSN https://t.co/XuPwL6x0P6";0;0;0;0;in;2831836117;1726558281093787803;hasanwjy66;https://twitter.com/hasanwjy66/status/1726558281093787803
Mon Nov 20 11:08:40 +0000 2023;1726558171626627551;"Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk:  Syal Palestine dan Kupluk Palestine Harga Produk:  Rp15.450 Harga Diskon:  Rp10.813 https://t.co/UzJKzfixQB https://t.co/UKrU5j16Du";0;0;0;0;in;2831836117;1726558171626627551;hasanwjy66;https://twitter.com/hasanwjy66/status/1726558171626627551
Mon Nov 20 11:08:24 +0000 2023;1726558105201516930;"@sellkpopfess Dom jogja, nanti ku kasih diskon juga  https://t.co/DscrsaBCfo";0;0;0;0;in;1566253876034310144;1726419638467375608;MeeMee929;https://twitter.com/MeeMee929/status/1726558105201516930
Mon Nov 20 11:07:47 +0000 2023;1726557950171603411;"@FOODFESS2 Pandan Latte terbaik dunia perkopian, Pandan Latte Less sugar Full Ice, terus shaken pelan 🤣 apalagi aku selalu dapet diskon 50% 😭😭😭 cuma sayang, harus ngemall dulu kalo beli ini.";0;0;0;0;in;623728740;1726425043759206850;devitasoe;https://twitter.com/devitasoe/status/1726557950171603411
Mon Nov 20 11:07:46 +0000 2023;1726557942852489244;"@bankmandiri Kalo pake livin kasih diskon dong";0;0;0;0;in;893128570347769857;1726496855939588354;bwangx;https://twitter.com/bwangx/status/1726557942852489244
Mon Nov 20 11:07:07 +0000 2023;1726557782139416779;"🚨PROMO PAHAMIFY🚨  Buat angkatan 24 📢 Yuk, pilih Mipi buat jadi teman belajar UTBK kamu ✨  Belinya di web https://t.co/cHJ4vGR2m2  #studytwt #ambistwt #ambisverse #studyacc Mipy mipi mify SNBT 2024 bimbel online snbt kode refferal diskon https://t.co/vF1uyJxce7";0;0;0;0;in;1600871784542523393;1726557782139416779;pfmfokus_;https://twitter.com/pfmfokus_/status/1726557782139416779
Mon Nov 20 11:06:29 +0000 2023;1726557621296169196;"Dapet 2  https://t.co/dXNfHPV1jx https://t.co/gb2I6X7zWY";0;0;0;0;in;1356632217846308864;1726557621296169196;RacunDiskon_id;https://twitter.com/RacunDiskon_id/status/1726557621296169196
Mon Nov 20 11:06:09 +0000 2023;1726557536575488453;"Rokok elektrik terbaru ini memiliki rasa yang lengkap, kapasitas rokok yang besar, dan harga yang murah, mohon sarannya, anda bisa membelinya, pasti saya akan memberikan diskon terbaik. https://t.co/6RlVedT8Jp";0;0;0;1;in;1573244630988357632;1726557536575488453;fiktorpuji;https://twitter.com/fiktorpuji/status/1726557536575488453
Mon Nov 20 11:05:56 +0000 2023;1726557482582233464;"Just me romanticism my life as anak kls 12 Hari ini les ekonomi sebelum ujian and I buy matcha frappe untung dapet diskon https://t.co/rluezXvPB8";0;0;0;0;in;1254388519620841474;1726557482582233464;yourfcoffe;https://twitter.com/yourfcoffe/status/1726557482582233464
Mon Nov 20 11:04:13 +0000 2023;1726557050736693555;"@ParkJiminBsn @oncebase Liat di webnya,kalau punya member diskon 20%,non member 15%";0;1;0;0;in;3318033031;1726529027450843180;pengushrnminari;https://twitter.com/pengushrnminari/status/1726557050736693555
Mon Nov 20 11:03:41 +0000 2023;1726556916325990569;"@literarybase Ini diskon apa ya? Buka gudang?";0;0;0;0;in;1708884272411742208;1726554951290360028;alonelydemigod;https://twitter.com/alonelydemigod/status/1726556916325990569
Mon Nov 20 11:03:29 +0000 2023;1726556864756982257;"diskon nih...";0;0;0;1;in;317098034;1726556864756982257;Jerseyforum;https://twitter.com/Jerseyforum/status/1726556864756982257
Mon Nov 20 11:03:29 +0000 2023;1726556864459288586;"@jluvtway @discountfess engga, tetep pake harga diskon kalo perpanjang";0;0;0;0;in;1103544087519485952;1726456588557525463;sudahdipake;https://twitter.com/sudahdipake/status/1726556864459288586
Mon Nov 20 11:02:44 +0000 2023;1726556679578460507;"8. Merangkum + Translate yu yang mau merangkum juga boleh langsung chat aja ke wa yg ada di bio ya biar fast respon, untuk yang lebih dari 5 halaman seperti ini keylap'joktug kasih diskon loh 🫣✨ #jokitugas #zonauang https://t.co/nyVYudt73C";0;1;0;0;in;1657688642742292481;1717530505573236868;KeylaPuter71385;https://twitter.com/KeylaPuter71385/status/1726556679578460507
Mon Nov 20 11:02:21 +0000 2023;1726556580106453364;"yg 1 diskon google play, yg satu minta mamah bilang nya (buat kuota) xixi pdhl kuota masi 9gb 🤫 https://t.co/PNE0d7fRZl";0;0;0;1;in;1233598095348436993;1726556580106453364;cigaraftershy;https://twitter.com/cigaraftershy/status/1726556580106453364
Mon Nov 20 11:02:05 +0000 2023;1726556512213176458;"Unik Bearhug Koko Bayi Laki-Laki Topi Premium Embroidery Abu XKG4 6-18M - 6 Diskon HZWKHAN  https://t.co/KYqckyyFyq https://t.co/dCdZlVAd6Q";0;0;0;0;in;1584196890995957762;1726556512213176458;fritsch17okiaw;https://twitter.com/fritsch17okiaw/status/1726556512213176458
